,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Trip distance (miles),mean,0.661489810868095,0.7374573606046534,0.6698538814617743,0.5988883253292225,0.7405884863378138,1.1220490095499818,0.7076620515622822,0.6433846924818934,0.6648026568758452,1.1607352326203586,0.7699429948926709,0.7107347248607367,0.7151612749240972,0.6896774231376036,0.6794435571514819
Trip duration (minutes),mean,15.266241495899534,16.177010306455884,16.126771293433737,15.129465434448152,17.388639997901297,19.198876095415784,15.243230032518552,14.967140397293953,12.79068923129586,20.91769271659553,18.712983215432406,16.481138477998087,18.133783405921918,13.260777035838457,16.42023431735965
Route directness ratio,mean,0.6143324040723861,0.6287741749665177,0.5632105589492684,0.5622527489278079,0.44115558242042285,0.7035841123968886,0.5657135531125341,0.5737744947449275,0.6274801552535075,0.666690544501069,0.5133134054347972,0.4641495007094699,0.44277245152494854,0.5876114375346514,0.5358997903121395
Average trip speed (mph),mean,2.813333767065029,2.962996826425002,2.8478782410938384,2.749746894569348,2.780931389895578,4.156707483445336,3.0012372166648595,2.9569716689690817,3.4255871400077798,3.8444280617826245,2.731706117649506,2.8134859330552406,2.635265480546687,3.7612575885780393,2.733467819092827
Average daily temperature,mean,62.983453716510425,62.07069037679355,64.48321382420757,66.1929166474893,64.32965817803363,66.0404646660213,65.64035015004062,65.27577140770495,64.17813696587713,64.75354405549152,63.948591688004726,65.58436922858361,65.10416821300194,66.48625851601243,64.80906187684603
Proportion of CBD land use at origin,mean,0.5155786850866398,0.45630236594294654,0.8730186425835467,0.8857517690515858,0.1490908647494818,0.8794817929556309,0.34409597716814105,0.8551725327070626,0.37299334072079954,0.8700598113987452,0.8297416195532654,0.14284349641605681,0.8887795887310449,0.8329590734450882,0.8567347906042032
Proportion of urban land use at origin,mean,0.3655732665223191,0.42711332021217896,0.025648941355153894,0.009270038351167697,0.7461919940494616,0.010801687418792357,0.5440051116407754,0.035623373376571565,0.5230755172271085,0.02285754783869766,0.062105641180485824,0.75133156909184,0.002502086660096942,0.05959343878140851,0.0347657712252402
Average population density at origin,mean,4090.480594555911,3583.8902694408175,10375.227037726776,10539.276251412653,5612.295908242676,9838.899493414927,5737.631761187917,9726.616113662134,5379.146118240584,9781.88310773588,9765.281727940195,5753.138851925769,10533.657918893929,8908.915483204866,9840.15168101185
Average employment density at origin,mean,19686.830982261738,17294.80266401985,67066.81087493824,117084.0529213748,14159.461613569953,133488.26205801836,27197.293280239228,109464.70707365403,23485.696657189856,112309.32422374774,91868.07660393145,13273.39752567446,158138.78840222082,84635.28726022314,108144.97480942299
Average parking density at origin,mean,1342.578873788301,997.926351562567,8811.720674004231,21222.46787128699,358.59213379122554,26373.411810026442,2858.063840140428,19683.033988379706,1685.2315559213575,21141.84925040442,15552.654395923104,323.3627734983763,32432.103806401654,14195.000770710043,19328.14448123654
Entropy at origin,mean,0.4582028118648432,0.4366295103258529,0.7389734110031775,0.7789076599725498,0.5092044491100609,0.7846038295522177,0.5448656591056602,0.7376946438319609,0.5309123744713148,0.7745392036075012,0.7374563227857197,0.496064630447342,0.8156619970461626,0.6963627343251527,0.7470559400329011
Proportion of CBD land use at destination,mean,0.7241415077093772,0.7294483843121612,0.8776052926700291,0.8876107844343734,0.13293537442319744,0.3289314815567095,0.2616303196112188,0.8523032267398432,0.43029782414196366,0.363867726453803,0.8592429092096775,0.12095793015379729,0.8907982364249353,0.8775735524285612,0.8760074456669379
Proportion of urban land use at destination,mean,0.16112610393441815,0.1594504452788027,0.01982002286948458,0.0068784397482860235,0.76131464629246,0.5400634572379281,0.6247541371830654,0.036410596235663076,0.4632665042597471,0.5127815455535879,0.0344731303106324,0.7721181979283229,0.0005665999782742463,0.017172320024589644,0.01803949240685675
Average population density at destination,mean,5914.5707057214695,5824.780536942139,10493.888521085273,10466.839093031487,5600.201775469853,4619.404143414851,5486.947069058769,9242.730507883058,4714.20382775914,4390.227832209659,10037.010332655931,5860.038108157607,10569.650744251589,10283.792039272836,9936.079385857229
Average employment density at destination,mean,54940.69428262659,60845.91357756211,78350.584283996,120238.43167282394,12423.930743695293,12344.932705503345,18170.768935728116,105044.571815508,27116.075187267197,14091.23888222399,105231.00426479692,11787.45811122241,164624.40323174372,114923.71382004122,114142.69337352164
Average parking density at destination,mean,8449.022093767799,9934.942581680742,11350.693753232434,21897.602028903784,305.29139708331417,478.4159706734465,1165.3370773798165,18377.80581968965,2742.1566251684217,764.8242974150149,18588.12012182192,266.94946714622546,34062.70477943945,21214.373037353587,20476.215529146677
Entropy at destination,mean,0.5885837907644813,0.6029836893420388,0.743964042320194,0.7733628260106824,0.45641508411706294,0.36274873466933455,0.4570496575884231,0.7216717230161076,0.5020927087189553,0.38467478952940104,0.7529350747676745,0.4516022644105353,0.8196748732705418,0.7699884481873042,0.7582981590920407
Trips on special event,mean,0.07409114970203029,0.12660306285616166,0.14473695323519228,0.0558176462466056,0.14446937912641883,0.13149403033236529,0.16015385380572641,0.15360598867993427,0.10125038121378468,0.14942668203603712,0.1407655439564047,0.13648955817587727,0.11476105143729655,0.10735968855726005,0.2783033719657556
Weekend trips,mean,0.20173146867476052,0.0736308904175744,0.0,0.0,0.24070641038150065,0.33917392707324945,0.26441964951837793,0.2711977359868541,0.1252414353969706,0.12829379765010415,1.0,0.4027383151015769,0.01468576699996819,0.1448301432080456,1.0
Trip during 7 am and 10 am,mean,0.0,0.0,0.0,0.0,0.0,0.004775734107776702,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Trip during 10 am and 4 pm,mean,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Trip during 4 pm and 8 pm,mean,1.0,0.0,0.0,1.0,0.0,0.9732494353017103,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Trip during 8 pm and 7 am,mean,0.0,0.0,0.0,0.0,0.0,0.02197483059051307,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_of_special_day_trip,,3.0413267165727422,8.268847954692012,12.011803628003477,3.4002018672722687,9.34056691058962,2.856281716993299,6.770964757338717,11.793815011074663,2.094372949785516,5.17915720413828,6.011158774217063,5.387332828665152,7.586144054728461,3.247399557013486,13.010626068915244
proportion_of_vanderbilt_trip,,18.11561664161184,34.35407352453095,3.8265555143398218,0.8961168270826418,5.289822533726402,1.5569785830030651,9.277444798032057,3.404853478065637,10.08082622361922,4.867144335331211,2.4940942191679194,2.987056090275473,0.07028367271236406,1.383221725464165,1.3959118330372309
proportion_of_park_trip,,6.514251107157727,12.81180211211628,4.760778227790605,4.442825239411031,19.12733260153677,3.3564858624474807,4.515689465914682,5.742079563950187,2.5871531852076157,8.062379348196373,4.726711836178508,9.510200991710512,6.695938529088913,2.640145349937545,4.506226579355767
proportion_of_trips,,5.574789837572121,8.87018239937858,11.270950797574862,8.273036477019925,8.780700944410121,2.950032222843092,5.741758424821775,10.427445294941347,2.809241720823572,4.707200496526882,5.79954059840247,5.360510310833824,8.97756014534073,4.107960327349816,6.349090002160882
