,,Daytime errand,Morning commute,Nighttime entertainment district,Recreational,Social,Utilitarian
Trip distance (miles),mean,0.6899417709358827,0.6795751837217868,0.6662098775943963,0.7292718181029275,0.6725106653640897,0.8597758554079099
Trip duration (minutes),mean,17.016618058121306,13.069863099282196,15.065181093455113,17.044633309455012,16.548446781828773,17.360267786315625
Route directness ratio,mean,0.5098120470171549,0.6038030803971126,0.5709120173878438,0.4498718892381426,0.5401613587485842,0.6431918243603644
Average trip speed (mph),mean,2.753612354043834,3.624933765447858,2.9726905680451985,2.793271843702697,2.7395623424104594,3.272297114012761
Average daily temperature,mean,64.75852569225707,65.54887497419665,65.40523499178721,64.80528161666207,65.12531172941654,63.40214830543149
Proportion of CBD land use at origin,mean,0.8800065560348601,0.6461559531199358,0.6736869030277151,0.1467226742343572,0.8608241007198587,0.6158559139695475
Proportion of urban land use at origin,mean,0.015386345711149623,0.24782463147405506,0.2161520610778838,0.7481402532552298,0.03220141435289981,0.2699290674778421
Average population density at origin,mean,10445.470364188614,7475.3914519730515,8310.109468730476,5665.685256451237,10102.112260438107,5866.549779058955
Average employment density at origin,mean,107445.29392049485,59800.97131325948,80251.17099460863,13823.581214534455,107143.8218383686,53642.39373496946
Average parking density at origin,mean,19284.264103237194,9114.483337315125,13708.409896163254,345.2377367962727,19023.355381502224,8761.918648340577
Entropy at origin,mean,0.7729747455009256,0.629169373427262,0.669220186660446,0.5042235367855267,0.7572332223359224,0.560481893290538
Proportion of CBD land use at destination,mean,0.883454633709904,0.6959241473853353,0.6425525674247714,0.12839508347181827,0.8759471290965929,0.5967926628280538
Proportion of urban land use at destination,mean,0.011283653825024212,0.19834187167894304,0.24533408693268935,0.7654099496503347,0.018185012085774502,0.2859248142719662
Average population density at destination,mean,10527.479135086904,8021.848631718312,7909.034577308751,5698.697959095224,10179.759175694335,5381.020961618009
Average employment density at destination,mean,116601.71300919821,79262.92494380468,74195.28583789001,12182.663001677289,114081.3155497425,42925.37390065057
Average parking density at destination,mean,21420.493235478993,13712.362736107838,12265.57919888612,290.75711801386524,20515.835036639437,6344.968723787268
Entropy at destination,mean,0.777531870612093,0.6611895605873293,0.6277032135026481,0.4545906880879482,0.7628779572685689,0.5207927481768174
Trips on special event,mean,0.13144657044802782,0.10487855226037295,0.1559311656275573,0.14144446763108115,0.14911270737289598,0.1188717520231886
Weekend trips,mean,0.006511212448874054,0.13687469896098534,0.2687908063841938,0.30212786009033815,0.594889269049872,0.15302584599216998
Trip during 7 am and 10 am,mean,0.0,1.0,0.0,0.0,0.0,0.0006374282354866636
Trip during 10 am and 4 pm,mean,1.0,0.0,0.0,0.6209299038053758,0.2839895771667234,0.6142999272125866
Trip during 4 pm and 8 pm,mean,0.0,0.0,0.0,0.3790700961946241,0.7160104228332766,0.38212961327918066
Trip during 8 pm and 7 am,mean,0.0,0.0,1.0,0.0,0.0,0.0029330312727460666
Percentage_of_special_day_trip_inCluster,,19.597947682731938,5.341772506799002,18.564779768413377,14.727899739254774,22.421986710404575,19.345613592396333
Percentage_of_vanderbilt_trip_inCluster,,3.8968391870521852,11.464047949083383,12.682298276097695,8.276878624001874,4.786122879287793,58.89381308447707
Percentage_of_park_trip_inCluster,,11.45671675687952,5.22729853514516,10.25776902986487,28.637533593247284,13.675763654945305,30.74491842991786
Percentage_of_trips,,20.24851094291559,6.917202048173389,16.16920371976312,14.141211255243945,20.421667077583276,22.102204956320676
Percentage_by_VMT,,19.271323123144473,6.484462390348734,14.859551567128824,14.225975106061412,18.945076844213112,26.213610969103446
Percentage_by_duration,,20.99396882905073,5.508453729933101,14.841957895237382,14.68596464992343,20.5909619146364,23.378692981218954
