,count,mean,std,min,25%,50%,75%,max
Trip distance (miles),1050041.0,0.72,1.02,0.0,0.08,0.31,0.99,10.0
Trip duration (minutes),1050041.0,16.41,17.82,1.0,5.82,10.82,20.0,180.0
Route directness ratio,1050041.0,0.55,0.3,0.0,0.3,0.62,0.81,1.0
Average trip speed (mph),1050041.0,2.97,2.97,0.0,0.46,2.14,4.95,304.29
Trips on special event,1050041.0,0.14,0.34,0.0,0.0,0.0,0.0,1.0
Weekend trips,1050041.0,0.32,0.47,0.0,0.0,0.0,1.0,1.0
Trip during 7 am and 10 am,1050041.0,0.02,0.15,0.0,0.0,0.0,0.0,1.0
Trip during 10 am and 4 pm,1050041.0,0.2,0.4,0.0,0.0,0.0,0.0,1.0
Trip during 4 pm and 8 pm,1050041.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0
Trip during 8 pm and 7 am,1050041.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0
Average daily precipitation,1050041.0,0.14,0.35,0.0,0.0,0.0,0.08,4.0
Average daily temperature,1050041.0,64.75,14.61,24.0,53.0,68.0,78.0,85.0
Proportion of CBD land use at origin,1050041.0,0.66,0.33,0.0,0.44,0.87,0.9,0.9
Proportion of urban land use at origin,1050041.0,0.23,0.33,0.0,0.0,0.0,0.46,0.9
Proportion of sub-urban land use at origin,1050041.0,0.0,0.01,0.0,0.0,0.0,0.0,0.6
Proportion of rural land use at origin,1050041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Average population density at origin,1050041.0,8137.08,4665.16,0.0,5009.7,7471.16,11055.76,18555.69
Average employment density at origin,1050041.0,74560.58,70045.31,24.54,14494.8,50332.81,137875.77,229577.11
Average parking density at origin,1050041.0,12622.29,16216.93,0.0,254.9,2713.0,25670.51,53492.32
Intersection density (per sq. miles) at origin,1050041.0,536.47,144.46,20.72,455.84,549.08,652.68,808.08
Entropy at origin,1050041.0,0.66,0.25,-0.0,0.59,0.75,0.83,0.93
Proportion of CBD land use at destination,1050041.0,0.66,0.33,0.0,0.42,0.87,0.9,0.9
Proportion of urban land use at destination,1050041.0,0.23,0.33,0.0,0.0,0.0,0.48,0.9
Proportion of sub-urban land use at destination,1050041.0,0.0,0.01,0.0,0.0,0.0,0.0,0.6
Proportion of rural land use at destination,1050041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Average population density at destination,1050041.0,8039.68,4619.75,0.0,4978.78,7649.22,10581.71,18555.69
Average employment density at destination,1050041.0,75594.81,70944.77,24.54,13524.36,50332.81,137875.77,229577.11
Average parking density at destination,1050041.0,12901.98,16402.38,0.0,140.44,2713.0,25670.51,53492.32
Intersection density (per sq. miles) at destination,1050041.0,535.63,145.5,20.72,455.84,549.08,652.68,808.08
Entropy at destination,1050041.0,0.64,0.27,-0.0,0.55,0.75,0.83,0.93
