,,Daytime short errand,Evening Social,Morning commute,Nighttime,Recreational,utilitarian
Trip distance (miles),mean,0.707753865077509,0.6338663032391366,0.6795751837217868,0.6662098775943963,0.7292718181029275,0.7783343051557247
Trip duration (minutes),mean,17.39430997814577,15.68993164442539,13.069863099282196,15.065181093455113,17.044633309455012,16.39760563599091
Route directness ratio,mean,0.510591616662135,0.5508100010954542,0.6038030803971126,0.5709120173878438,0.4498718892381426,0.6368329189993553
Average trip speed (mph),mean,2.7487349793532796,2.742678338877553,3.624933765447858,2.9726905680451985,2.793271843702697,3.117474786277984
Average daily temperature,mean,64.57819569205581,65.59203150939096,65.54887497419665,65.40523499178721,64.80528161666207,63.036451891820896
Proportion of CBD land use at origin,mean,0.8688151799990066,0.8731522741685004,0.6461559531199358,0.6736869030277151,0.1467226742343572,0.5470666983667029
Proportion of urban land use at origin,mean,0.025788292681093887,0.020340569229081996,0.24782463147405506,0.2161520610778838,0.7481402532552298,0.3367882156092039
Average population density at origin,mean,10294.02788088647,10235.708584527518,7475.3914519730515,8310.109468730476,5665.685256451237,4807.035305726573
Average employment density at origin,mean,103977.06121622765,113202.60574948885,59800.97131325948,80251.17099460863,13823.581214534455,37766.74363297758
Average parking density at origin,mean,18453.429521975646,20399.93157919356,9114.483337315125,13708.409896163254,345.2377367962727,5411.829511438936
Entropy at origin,mean,0.7650666478757222,0.7650772887938849,0.629169373427262,0.669220186660446,0.5042235367855267,0.5025566033180585
Proportion of CBD land use at destination,mean,0.8780639472329619,0.8825724856434236,0.6959241473853353,0.6425525674247714,0.12839508347181827,0.6598236542077441
Proportion of urban land use at destination,mean,0.016446739060811136,0.011724692989838156,0.19834187167894304,0.24533408693268935,0.7654099496503347,0.2245359183624141
Average population density at destination,mean,10418.277349779295,10236.377322976075,8021.848631718312,7909.034577308751,5698.697959095224,5649.135978287654
Average employment density at destination,mean,114070.05005959689,117591.59428241246,79262.92494380468,74195.28583789001,12182.663001677289,50728.076969189504
Average parking density at destination,mean,20789.871676839808,21280.42019644099,13712.362736107838,12265.57919888612,290.75711801386524,7854.991826984994
Entropy at destination,mean,0.7720554488585406,0.7668215800254348,0.6611895605873293,0.6277032135026481,0.4545906880879482,0.5576271464669733
Trips on special event,mean,0.13352141912189275,0.1524234237166759,0.10487855226037295,0.1559311656275573,0.14144446763108115,0.11060339072093864
Weekend trips,mean,0.2277092758940775,0.4342111259399108,0.13687469896098534,0.2687908063841938,0.30212786009033815,0.159718497925947
Trip during 7 am and 10 am,mean,0.0,0.0,1.0,0.0,0.0,0.0008099204307901102
Trip during 10 am and 4 pm,mean,1.0,0.0,0.0,0.0,0.6209299038053758,0.509926997712522
Trip during 4 pm and 8 pm,mean,0.0,1.0,0.0,0.0,0.3790700961946241,0.48553635338798473
Trip during 8 pm and 7 am,mean,0.0,0.0,0.0,1.0,0.0,0.003726728468703142
Percentage_of_special_day_trip_inCluster,,27.00788740307069,17.307194760458017,5.6335425306219,19.57879641333836,15.532344266294103,14.940234626216931
Percentage_of_vanderbilt_trip_inCluster,,6.7179034641274,2.409292398620916,12.050566409456575,13.331144311278937,8.700336562140864,56.79075685437531
Percentage_of_park_trip_inCluster,,17.602618469265924,9.733830128864918,5.685701346288443,11.157314010457409,31.148873975873855,24.671662069249454
Percentage_of_trips,,26.048051541318063,14.622126479180809,6.917202048173389,16.16920371976312,14.141211255243945,17.395004459793793
Percentage_by_VMT,,27.50399550822881,13.827590109231839,7.013039237050656,16.070818506150292,15.385596460950257,20.198960178388145
Percentage_by_duration,,29.368368961895726,14.870616290824962,5.860017053432249,15.789208848173578,15.623259722960341,18.488529122713143
