,,Daytime errand,Morning commute,Nighttime entertainment district,Recreational,Social,Utilitarian
Trip distance (miles),mean,0.689941771,0.679575184,0.666209878,0.729271818,0.672510665,0.859775855
Trip duration (minutes),mean,17.01661806,13.0698631,15.06518109,17.04463331,16.54844678,17.36026779
Route directness ratio,mean,0.509812047,0.60380308,0.570912017,0.449871889,0.540161359,0.643191824
Average trip speed (mph),mean,2.753612354,3.624933765,2.972690568,2.793271844,2.739562342,3.272297114
Average daily temperature,mean,64.75852569,65.54887497,65.40523499,64.80528162,65.12531173,63.40214831
Proportion of CBD land use at origin,mean,0.880006556,0.646155953,0.673686903,0.146722674,0.860824101,0.615855914
Proportion of urban land use at origin,mean,0.015386346,0.247824631,0.216152061,0.748140253,0.032201414,0.269929067
Average population density at origin,mean,10445.47036,7475.391452,8310.109469,5665.685256,10102.11226,5866.549779
Average employment density at origin,mean,107445.2939,59800.97131,80251.17099,13823.58121,107143.8218,53642.39373
Average parking density at origin,mean,19284.2641,9114.483337,13708.4099,345.2377368,19023.35538,8761.918648
Entropy at origin,mean,0.772974746,0.629169373,0.669220187,0.504223537,0.757233222,0.560481893
Proportion of CBD land use at destination,mean,0.883454634,0.695924147,0.642552567,0.128395083,0.875947129,0.596792663
Proportion of urban land use at destination,mean,0.011283654,0.198341872,0.245334087,0.76540995,0.018185012,0.285924814
Average population density at destination,mean,10527.47914,8021.848632,7909.034577,5698.697959,10179.75918,5381.020962
Average employment density at destination,mean,116601.713,79262.92494,74195.28584,12182.663,114081.3155,42925.3739
Average parking density at destination,mean,21420.49324,13712.36274,12265.5792,290.757118,20515.83504,6344.968724
Entropy at destination,mean,0.777531871,0.661189561,0.627703214,0.454590688,0.762877957,0.520792748
Trips on special event,mean,0.13144657,0.104878552,0.155931166,0.141444468,0.149112707,0.118871752
Weekend trips,mean,0.006511212,0.136874699,0.268790806,0.30212786,0.594889269,0.153025846
Trip during 7 am and 10 am,mean,0,1,0,0,0,0.000637428
Trip during 10 am and 4 pm,mean,1,0,0,0.620929904,0.283989577,0.614299927
Trip during 4 pm and 8 pm,mean,0,0,0,0.379070096,0.716010423,0.382129613
Trip during 8 pm and 7 am,mean,0,0,1,0,0,0.002933031
Percentage_of_weekend_trip_inCluster,,0.522602068,3.752924308,17.22737907,16.93532564,48.15523357,13.40653536
Percentage_of_special_day_trip_inCluster,,19.59794768,5.341772507,18.56477977,14.72789974,22.42198671,19.34561359
Percentage_of_vanderbilt_trip_inCluster,,3.896839187,11.46404795,12.68229828,8.276878624,4.786122879,58.89381308
Percentage_of_park_trip_inCluster,,11.45671676,5.227298535,10.25776903,28.63753359,13.67576365,30.74491843
Percentage_of_trips,,20.24851094,6.917202048,16.16920372,14.14121126,20.42166708,22.10220496
Percentage_by_VMT,,19.27132312,6.48446239,14.85955157,14.22597511,18.94507684,26.21361097
Percentage_by_duration,,20.99396883,5.50845373,14.8419579,14.68596465,20.59096191,23.37869298
